bulk_id,slab_millers,slab_shift,slab_comp,top,slab_identifier,Ametal,Bmetal,Cmetal,surface_energy,Cost,DFT_ads_E,symbol,AandB,reaction_type,activity_pathway,optimal_energy,activity_width,source_file,processed_date,ascicat_version,bimetallic_filtered
mp-1521_H_3_111,111,,,,,Mo,Sb,,0.9208718427110844,39.065394999999995,-0.24921452,Sb14Mo6,Mo-Sb,HER,H_adsorption,-0.27,0.15,,2025-10-28,ASCICat-v1.0,True
mp-1521_H_4_111,111,,,,,Mo,Sb,,1.1793411579387292,39.065394999999995,-0.26555459,Sb14Mo6,Mo-Sb,HER,H_adsorption,-0.27,0.15,,2025-10-28,ASCICat-v1.0,True
mp-22040_H_0_111,111,,,,,Ir,Sn,,0.7320200322155602,41013.650435,-0.26290944,Sn14Ir6,Ir-Sn,HER,H_adsorption,-0.27,0.15,,2025-10-28,ASCICat-v1.0,True
mp-22040_H_2_111,111,,,,,Ir,Sn,,0.6493845105063588,41013.650435,-0.23295784,Sn14Ir6,Ir-Sn,HER,H_adsorption,-0.27,0.15,,2025-10-28,ASCICat-v1.0,True
mp-22344_H_3_111,111,,,,,Ru,Sn,,0.9146548232717824,6097.940435,-0.31299132,Sn14Ru6,Ru-Sn,HER,H_adsorption,-0.27,0.15,,2025-10-28,ASCICat-v1.0,True
mp-22344_H_4_111,111,,,,,Ru,Sn,,1.288475568836799,6097.940435,-0.31873276,Sn14Ru6,Ru-Sn,HER,H_adsorption,-0.27,0.15,,2025-10-28,ASCICat-v1.0,True
mp-1006883_H_0_111,111,,,,,Co,Ni,,2.2467008355368105,24.722415,-0.33952242,CoNi,Co-Ni,HER,H_adsorption,-0.27,0.15,,2025-10-28,ASCICat-v1.0,True
mp-1006883_H_1_111,111,,,,,Co,Ni,,2.2627798335612748,24.722415,-0.35076552,CoNi,Co-Ni,HER,H_adsorption,-0.27,0.15,,2025-10-28,ASCICat-v1.0,True
mp-10596_H_0_111,111,,,,,Fe,Ir,,2.147532233507372,102480.5275125,-0.34625809,FeIr3,Fe-Ir,HER,H_adsorption,-0.27,0.15,,2025-10-28,ASCICat-v1.0,True
mp-11364_H_1_111,111,,,,,Cu,Ti,,1.6640553084086245,8.60014,-0.11639606,TiCu,Cu-Ti,HER,H_adsorption,-0.27,0.15,,2025-10-28,ASCICat-v1.0,True
mp-11552_H_0_111,111,,,,,Pt,Ti,,1.4462153638763169,15357.00586,-0.20994828,TiPt,Pt-Ti,HER,H_adsorption,-0.27,0.15,,2025-10-28,ASCICat-v1.0,True
mp-1180_H_0_111,111,,,,,Mn,Pt,,1.5059626390724012,23030.4009125,-0.3152699,MnPt3,Mn-Pt,HER,H_adsorption,-0.27,0.15,,2025-10-28,ASCICat-v1.0,True
mp-12086_H_0_111,111,,,,,Cu,Pt,,1.11463643985212,7684.57142,-0.26992337,Cu3Pt,Cu-Pt,HER,H_adsorption,-0.27,0.15,,2025-10-28,ASCICat-v1.0,True
mp-12107_H_0_111,111,,,,,Pt,Ti,,1.5553047921741578,23032.092930000003,-0.39687499,TiPt3,Pt-Ti,HER,H_adsorption,-0.27,0.15,,2025-10-28,ASCICat-v1.0,True
mp-13100_H_0_111,111,,,,,Mo,Pt,,1.3492172535520166,23045.870270000003,-0.223725,MoPt3,Mo-Pt,HER,H_adsorption,-0.27,0.15,,2025-10-28,ASCICat-v1.0,True
mp-571_H_0_111,111,,,,,Ni,Ti,,1.7971421397956835,11.288345,-0.3594055,TiNi,Ni-Ti,HER,H_adsorption,-0.27,0.15,,2025-10-28,ASCICat-v1.0,True
mp-649_H_0_111,111,,,,,Fe,Pt,,1.4896830027293586,23030.4100125,-0.33782389,FePt3,Fe-Pt,HER,H_adsorption,-0.27,0.15,,2025-10-28,ASCICat-v1.0,True
mp-823_H_0_111,111,,,,,Co,Ti,,2.134950444491253,20.26579,-0.35495702,TiCo,Co-Ti,HER,H_adsorption,-0.27,0.15,,2025-10-28,ASCICat-v1.0,True
mp-922_H_0_111,111,,,,,Co,Pt,,1.4534916932848247,23038.809965,-0.35906491,CoPt3,Co-Pt,HER,H_adsorption,-0.27,0.15,,2025-10-28,ASCICat-v1.0,True
mp-1186237_H_0_111,111,,,,,Nb,Sn,,0.3599505788723528,43.0840375,-0.37137331,Nb2Sn6,Nb-Sn,HER,H_adsorption,-0.27,0.15,,2025-10-28,ASCICat-v1.0,True
mp-1207123_H_1_111,111,,,,,Nb,Sb,,1.4643030934280614,54.835764999999995,-0.15162561,Nb2Sb2,Nb-Sb,HER,H_adsorption,-0.27,0.15,,2025-10-28,ASCICat-v1.0,True
mp-13138_H_0_111,111,,,,,Cu,Sn,,0.887685669246072,15.4369325,-0.21137339,Cu6Sn2,Cu-Sn,HER,H_adsorption,-0.27,0.15,,2025-10-28,ASCICat-v1.0,True
mp-19856_H_0_111,111,,,,,Pt,Sn,,1.0004623291219608,15368.911025,-0.34966611,Sn2Pt2,Pt-Sn,HER,H_adsorption,-0.27,0.15,,2025-10-28,ASCICat-v1.0,True
